# mu_B [MeV]     	| T_c [MeV]      
 0.0000000000e+00	 1.5276960041e+02
 6.0000000000e+01	 1.5248491627e+02
 1.2000000000e+02	 1.5163975656e+02
 1.8000000000e+02	 1.4968394712e+02
 2.4000000000e+02	 1.4663005218e+02
 3.6000000000e+02	 1.3788073442e+02
 4.2000000000e+02	 1.3287852943e+02
 4.8000000000e+02	 1.2679287513e+02
 5.4000000000e+02	 1.2052933899e+02
 6.1500000000e+02	 1.1233607584e+02
 6.3000000000e+02	 1.1105187674e+02
 6.3600000000e+02	 1.1007069042e+02
