# (mu_B / T)^2   	| T_c [MeV]      	| cond           	| susc           
-7.5570009945e+00	 1.8894784601e+02	 2.3783203125e-01	 7.7348614173e-02
-6.5178090000e+00	 1.8363207688e+02	 2.3613281250e-01	 7.8133034883e-02
-5.5507359953e+00	 1.7903598756e+02	 2.3496093750e-01	 7.9191512550e-02
-3.8533689961e+00	 1.7173715644e+02	 2.3138671875e-01	 8.1478077324e-02
-2.4648999969e+00	 1.6643423311e+02	 2.2845703125e-01	 8.3768951161e-02
-1.3876840024e+00	 1.6256201021e+02	 2.2552734375e-01	 8.5649452208e-02
-6.1622500157e-01	 1.6004663431e+02	 2.2412109375e-01	 8.7376691410e-02
-0.0000000000e+00	 1.5813247213e+02	 2.2330078125e-01	 8.8658692157e-02
